task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
Step #1,2026-04-17T14:32:15,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.6727885939180851,3.789509009702128e-07,5.627270732461743e-07,360.0,146.08533640254188,10.0,6.713629439473152e-05,2.7243910693641737e-05,1.8648371824787724e-06,9.624504227085203e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #2,2026-04-17T14:32:16,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.42860111221671104,2.4842403072110356e-07,5.790845859436863e-07,360.0,159.32751634559008,10.0,4.291055165231227e-05,1.8991681855595743e-05,1.1919068586495187e-06,6.309414036655755e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #3,2026-04-17T14:32:18,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.42960578203201294,2.513224282455379e-07,5.844931404176944e-07,360.0,165.01409247698683,10.0,4.294975847005843e-05,1.968751575986971e-05,1.192994198451439e-06,6.383026842837958e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #4,2026-04-17T14:32:20,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.44660041108727455,2.68421462719355e-07,6.004296642925895e-07,360.0,183.48131610908598,10.0,4.434137307107448e-05,2.260001809872847e-05,1.2316490833957986e-06,6.817304025319876e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #5,2026-04-17T14:32:21,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.42728695273399353,2.5061032011266146e-07,5.860262934831553e-07,360.0,165.78779589496568,10.0,4.2766220122575756e-05,1.9695293559607308e-05,1.1878952280514769e-06,6.364940891023454e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #6,2026-04-17T14:32:23,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.42783866822719574,2.541557603339915e-07,5.935437239732485e-07,360.0,173.5407901594331,10.0,4.2752616479992855e-05,2.0609738697885405e-05,1.187516148719523e-06,6.45498713265978e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
Step #7,2026-04-17T14:32:23,energy-efficiency,c30bbb85-4cfd-4fdf-b3db-cd20dd2c6317,0.12172629311680794,7.584557993416197e-08,6.209832782438266e-07,360.0,197.1275059215243,10.0,1.2227367237210276e-05,6.696116457760581e-06,3.3959505251712245e-07,1.9263078747487963e-05,0.0,Canada,CAN,quebec,,,Linux-5.15.0-152-generic-x86_64-with-glibc2.35,3.14.2,3.1.0,4,AMD EPYC 9554 64-Core Processor,1,1 x NVIDIA RTX A5000,,,4,machine,N
