iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,5822100292,627974670,100,100.4,22717202432
2,12396259613,499497755,100,100.1,23941939200
3,18898904048,497802703,100,100.4,23941939200
4,25285621180,501141896,100,101.8,23941939200
5,31673690268,498323700,100,100.3,23941939200
6,38065152461,501653593,100,97.7,23941939200
7,44325730268,501821305,100,99.6,23941939200
8,50635079397,501672884,100,101.6,23941939200
9,56993043686,499542276,100,100.1,23941939200
10,63250014305,502147299,100,99.6,23941939200
11,69679571892,502278951,100,99.5,23941939200
12,76048123879,501873716,100,101.6,23941939200
13,82354220215,501708613,100,99.7,23941939200
14,88766781101,502212500,100,99.5,23941939200
15,95173508332,500628070,100,99.9,23941939200
16,101516238673,502571225,100,99.5,23941939200
17,107922899734,502877009,100,99.4,23941939200
18,114298212647,502862559,100,99.4,23941939200
19,120694272810,502658877,100,99.5,23941939200
20,127083771828,502054388,100,101.6,23941939200
21,133423462780,503629038,100,99.3,23941939200
22,139769883051,505080937,100,101.0,23941939200
23,146177619505,502680256,100,99.5,23941939200
24,152488383972,503488297,100,99.3,23941939200
25,158906277438,504517450,100,101.1,23941939200
26,165304686781,505259649,100,98.9,23941939200
27,171663065145,503694340,100,99.3,23941939200
28,177991649783,498997038,100,100.2,23941939200
29,184384395803,498152727,100,100.4,23941939200
30,190738624773,500050691,100,102.0,23941939200
31,197123204007,496656848,100,98.6,23941939200
32,203487556508,498105797,100,100.4,23941939200
33,209776500013,496551176,100,100.7,23941939200
34,216196600617,498863026,100,100.2,23941939200
35,222511278535,500588679,100,99.9,23941939200
36,228858949200,498861597,100,100.2,23941939200
37,235247945911,500685521,100,99.9,23941939200
38,241634292438,499644958,100,100.1,23941939200
39,248066563350,496993123,100,100.6,23941939200
40,254424558419,497173555,100,100.6,23941939200
41,260760461353,499853140,100,100.0,23941939200
42,267177905102,500034442,100,100.0,23941939200
43,273577409409,497213055,100,100.6,23941939200
44,279895465361,497144594,100,100.6,23941939200
45,286229016954,500857942,100,99.8,23941939200
46,292653897020,498205628,100,100.4,23941939200
47,298330365426,439838359,100,100.0,23941939200
