iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,474583071,430074754,100,100.8,11845566464
2,1367474484,240801513,65,108.0,12491489280
3,2197935315,242301692,85,107.3,12491489280
4,3025259434,241304700,87,107.7,12491489280
5,3853948252,243213556,88,106.9,12491489280
6,4682200444,243958776,89,106.6,12491489280
7,5512628626,243774273,100,110.7,12491489280
8,6342392278,244116687,89,106.5,12491489280
9,7170670000,242868642,88,107.0,12491489280
10,8000590985,243849914,89,106.6,12491489280
11,8833666273,244043637,87,106.5,12491489280
12,9673282109,244572704,85,110.4,12491489280
13,10512006094,243924436,99,106.6,12491489280
14,11352984259,244783068,85,110.3,12491489280
15,12185686252,242968712,88,107.0,12491489280
16,13020629405,246140695,88,105.6,12491489280
17,13854275940,245050361,89,102.0,12491489280
18,14689372866,245268644,91,106.0,12491489280
19,15522253300,244124488,89,106.5,12491489280
20,16353522213,245055040,89,110.2,12491489280
21,17188732370,245477797,88,105.9,12491489280
22,18032343041,246051865,86,105.7,12491489280
23,18869454654,245933182,89,109.8,12491489280
24,19716081016,246921747,100,105.3,12491489280
25,20558159387,246583362,86,105.4,12491489280
26,21400910636,246309588,86,105.5,12491489280
27,22241109971,245099951,87,110.1,12491489280
28,23079258987,247583765,89,105.0,12491489280
29,23920532347,248023501,100,104.8,12491489280
30,24760903514,246342548,88,105.5,12491489280
31,25599838371,246375499,89,105.5,12491489280
32,26437941897,245534058,89,109.9,12491489280
33,27270622230,244530874,88,106.3,12491489280
34,28100991921,242574227,100,103.0,12491489280
35,28934255370,244958939,89,106.1,12491489280
36,29768462554,244750436,88,106.2,12491489280
37,30602259521,243768854,89,106.6,12491489280
38,31436327553,245940223,89,109.8,12491489280
39,32272064466,245774460,100,105.8,12491489280
40,33111787784,244964930,86,106.1,12491489280
41,33945892466,244796938,89,110.3,12491489280
42,34782630404,244891439,89,106.2,12491489280
43,35618549200,244026156,87,106.5,12491489280
44,36461954908,245343345,100,106.0,12491489280
45,37305124104,245326005,86,106.0,12491489280
46,38149692848,246460750,86,105.5,12491489280
47,38986037870,246441090,88,105.5,12491489280
48,39823370516,246511470,89,109.5,12491489280
49,40662675978,246668022,100,105.4,12491489280
50,41502372056,246458001,89,105.5,12491489280
51,42344115702,246826085,88,105.3,12491489280
52,43183075630,246237327,89,109.6,12491489280
53,44024593323,246551792,89,105.4,12491489280
54,44863349517,246538081,100,109.5,12491489280
55,45703842696,246555422,88,105.4,12491489280
56,46544561828,246752655,89,105.4,12491489280
57,47388493463,248359446,89,108.7,12491489280
58,48230596954,248380457,89,104.7,12491489280
59,49074705913,249193628,100,104.3,12491489280
60,49918720189,247853868,88,104.9,12491489280
61,50769872873,249238488,86,108.3,12491489280
62,51613927190,249029895,89,108.4,12491489280
63,52458086989,247923561,100,104.9,12491489280
64,53303170031,247844649,89,108.9,12491489280
65,54153790617,248098253,85,108.8,12491489280
66,55007650819,248455557,85,104.6,12491489280
67,55854261390,246374419,86,109.6,12491489280
68,56698459560,247362262,88,109.1,12491489280
69,57544751577,248755151,89,104.5,12491489280
70,58390689140,249061146,89,108.4,12491489280
71,59233664333,247222261,89,105.2,12491489280
72,60079047358,247907010,92,108.9,12491489280
73,60925800333,249260359,89,104.3,12491489280
74,61772545686,249263587,88,108.3,12491489280
75,62619540694,248226034,89,108.8,12491489280
76,63466567731,249499451,89,108.2,12491489280
77,64313374756,248440498,89,108.7,12491489280
78,65162587174,249384070,89,108.2,12491489280
79,66012493981,249096796,88,104.4,12491489280
80,66863047647,249770396,89,104.1,12491489280
81,67711049968,248124162,89,104.8,12491489280
82,68561358741,249928007,89,104.0,12491489280
83,69411426670,249214077,89,104.3,12491489280
84,70263166292,250836450,89,107.6,12491489280
85,71113528125,249247027,89,108.3,12491489280
86,71967847763,250972162,88,107.6,12491489280
87,72818497819,249735644,89,108.1,12491489280
88,73669432091,250129800,88,103.9,12491489280
89,74527918855,251672561,87,107.3,12491489280
90,75381284819,250608597,89,107.7,12491489280
91,76233667990,249738355,89,108.1,12491489280
92,77089549389,250752409,97,103.7,12491489280
93,77947542456,249286169,86,108.3,12491489280
94,78807250616,249045474,85,108.4,12491489280
95,79665564788,252037567,87,107.1,12491489280
96,80519221086,251135963,89,107.5,12491489280
97,81372202975,250374814,89,107.8,12491489280
98,82228541780,251743471,100,107.2,12491489280
99,83084568581,251906335,93,107.2,12491489280
100,83939745319,251233115,89,107.4,12491489280
101,84792849060,250559797,89,103.7,12491489280
102,85646422817,250341273,100,103.8,12491489280
103,86504298293,252443682,89,106.9,12491489280
104,87360982632,252147908,88,107.1,12491489280
105,88217202245,252176037,89,111.0,12491489280
106,89070369967,249551702,98,108.2,12491489280
107,89927016956,251388727,89,107.4,12491489280
108,90783061157,251998756,89,103.2,12491489280
109,91640936222,252782796,100,106.8,12491489280
110,92496272974,251495309,89,111.3,12491489280
111,93350982796,251082602,89,111.5,12491489280
112,94206661822,250889990,89,107.6,12491489280
113,95062952616,252788356,100,102.8,12491489280
114,95921974377,252784256,89,110.7,12491489280
115,96780364930,252069536,88,107.1,12491489280
116,97640347124,253093970,100,110.6,12491489280
117,98498320532,252661035,89,106.8,12491489280
118,99357169290,252673225,89,110.8,12491489280
119,100215850867,252084217,88,107.1,12491489280
120,101078408227,252457532,93,106.9,12491489280
121,101939410315,252823026,87,106.8,12491489280
122,102798013391,252985039,88,106.7,12491489280
