iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,336837423,317136960,6,104.6,6403457024
2,848685958,122774732,67,114.0,6808207360
3,1278098970,122241664,95,130.8,6808207360
4,1708583578,124228612,100,128.7,6808207360
5,2132995989,124654799,100,128.3,6808207360
6,2557888195,124597388,100,128.3,6808207360
7,2983308440,124583788,96,128.4,6808207360
8,3403783354,124547817,98,128.4,6808207360
9,3824186377,124557907,98,128.4,6808207360
10,4245249179,124375834,98,136.6,6808207360
11,4666991471,125357319,98,127.6,6808207360
12,5088623111,125288948,100,127.7,6808207360
13,5509401600,125038465,100,127.9,6808207360
14,5933605457,124368374,100,120.6,6808207360
15,6358181349,124459266,100,120.5,6808207360
16,6783504793,124345804,96,128.6,6808207360
17,7212245825,124636139,95,128.3,6808207360
18,7640505571,124182381,95,128.8,6808207360
19,8066509104,124655568,96,128.3,6808207360
20,8493308029,124903863,100,128.0,6808207360
21,8915811591,125165266,100,127.8,6808207360
22,9338536828,125617023,100,135.3,6808207360
23,9761302844,125019913,100,127.9,6808207360
24,10183664646,125022635,98,119.9,6808207360
25,10604655216,124928163,98,128.0,6808207360
26,11025783870,125334079,99,127.6,6808207360
27,11446876832,124891952,98,120.1,6808207360
28,11869814212,126133921,98,126.8,6808207360
29,12291187468,124314263,100,128.7,6808207360
30,12711818264,124481407,100,128.5,6808207360
31,13131716159,124277133,100,128.7,6808207360
32,13553839097,124718100,100,120.2,6808207360
33,13982744072,124626738,95,120.3,6808207360
34,14407153452,124677230,97,112.3,6808207360
35,14835708702,124375736,95,128.6,6808207360
36,15262847542,124866212,96,128.1,6808207360
37,15688577191,125090735,100,135.8,6808207360
38,16115744300,125073775,100,127.9,6808207360
39,16542850070,125001624,100,127.9,6808207360
40,16973559370,123366870,100,121.5,6808207360
41,17409360014,125260018,93,111.7,6808207360
42,17843463973,125164547,93,127.8,6808207360
43,18272583091,124068520,97,137.0,6808207360
44,18699573408,125237127,100,111.7,6808207360
45,19129500358,124776891,100,128.2,6808207360
46,19552237044,125406680,100,127.5,6808207360
47,19976419111,125986877,99,126.9,6808207360
48,20407622429,125260837,95,127.7,6808207360
49,20831132426,125349959,99,119.6,6808207360
50,21256477140,126206791,98,118.8,6808207360
51,21683572819,128991131,100,131.7,6808207360
52,22113548959,124644509,100,128.3,6808207360
53,22538299774,126082169,100,126.8,6808207360
54,22961454396,125316298,100,127.6,6808207360
55,23387121465,126799420,99,126.1,6808207360
56,23810941586,125462030,99,127.5,6808207360
57,24237461847,125274127,97,127.7,6808207360
58,24664675068,125778175,96,127.2,6808207360
59,25090431867,125719594,100,127.2,6808207360
60,25516154286,125652932,100,127.3,6808207360
61,25950160084,124159231,100,120.8,6808207360
62,26385870467,125781095,99,127.2,6808207360
63,26817204286,125163346,94,119.8,6808207360
64,27242039823,125767525,98,127.2,6808207360
65,27667607850,126617398,98,126.3,6808207360
66,28096284971,125503750,100,119.5,6808207360
67,28529374776,125783825,100,127.2,6808207360
68,28959507608,125953057,100,127.0,6808207360
69,29385096016,126613878,99,126.3,6808207360
70,29809855161,125809865,99,135.1,6808207360
71,30235076222,125146776,99,127.8,6808207360
72,30661111617,126613497,99,126.3,6808207360
73,31086756434,125861407,100,127.1,6808207360
74,31513214834,126671828,100,118.4,6808207360
75,31939275828,126275942,100,134.6,6808207360
76,32365306582,126617337,100,126.3,6808207360
77,32789721472,125783295,99,127.1,6808207360
78,33216108821,125715174,98,119.3,6808207360
79,33641357873,126552846,98,118.5,6808207360
80,34066913639,125657382,99,127.3,6808207360
81,34492758301,126416305,100,126.5,6808207360
82,34918370308,126276702,100,126.7,6808207360
83,35344816817,126351572,100,118.7,6808207360
84,35770138481,126044769,99,134.8,6808207360
85,36197577675,126343904,99,126.6,6808207360
86,36629551503,125962487,96,127.0,6808207360
87,37056645592,126314672,98,126.6,6808207360
88,37482764087,127158765,100,133.6,6808207360
89,37908060260,125785935,100,127.1,6808207360
90,38333964751,125817575,100,135.1,6808207360
91,38765808418,125989138,100,126.9,6808207360
92,39193420584,125584202,99,127.4,6808207360
93,39619834224,126577077,98,118.5,6808207360
94,40052544303,129204295,95,131.5,6808207360
95,40487813850,124787971,100,120.2,6808207360
96,40919690467,126324443,100,126.6,6808207360
97,41350020252,126155250,100,126.8,6808207360
98,41780486359,126207531,99,126.7,6808207360
99,42210614481,126843450,98,126.1,6808207360
100,42638341409,127313616,98,125.6,6808207360
101,43069934102,126414834,99,126.5,6808207360
102,43501285813,126587727,100,126.3,6808207360
103,43927431078,126173261,100,126.8,6808207360
104,44360620844,125967188,100,127.0,6808207360
105,44785957227,125804935,99,127.1,6808207360
106,45212381866,126283092,98,118.7,6808207360
107,45637860492,126601907,98,126.3,6808207360
108,46064416443,126106899,99,126.8,6808207360
109,46491318799,126603567,100,126.3,6808207360
110,46917673988,126869531,100,133.9,6808207360
111,47348276927,126514096,100,110.6,6808207360
112,47781713437,126138581,99,126.8,6808207360
113,48207884342,126615886,99,118.4,6808207360
114,48634304791,126414183,98,134.4,6808207360
115,49061603093,126162611,99,126.8,6808207360
116,49489445443,126781729,100,126.2,6808207360
117,49916803155,127306326,100,117.8,6808207360
118,50342999891,126376063,100,126.6,6808207360
119,50770385224,126821700,99,134.0,6808207360
120,51196270615,126681908,99,118.4,6808207360
121,51622532532,126214741,99,134.6,6808207360
122,52051652200,127152254,99,125.8,6808207360
123,52479259996,127277917,100,125.7,6808207360
124,52906796101,127028093,100,125.9,6808207360
125,53334668811,127072423,100,133.7,6808207360
126,53762364459,126020058,99,134.8,6808207360
127,54191716850,126886862,99,133.9,6808207360
128,54621989785,125845636,96,127.1,6808207360
129,55059365711,126911461,94,126.0,6808207360
130,55490150283,129532429,100,123.5,6808207360
131,55921636954,124941274,100,136.0,6808207360
132,56349748918,126642307,100,126.3,6808207360
133,56777798860,127856564,99,125.1,6808207360
134,57211877149,126439954,95,118.6,6808207360
135,57638845566,126644968,98,134.2,6808207360
136,58068702705,126450305,100,126.5,6808207360
137,58504876114,125641713,100,127.3,6808207360
138,58937224778,126847690,100,126.1,6808207360
139,59368358515,126405344,99,126.5,6808207360
140,59803123894,125089525,99,111.9,6808207360
141,60240097184,125836265,94,127.1,6808207360
142,60674605579,126635837,100,126.3,6808207360
143,61100786135,126107330,100,118.9,6808207360
144,61527822373,126579596,100,126.4,6808207360
145,61960720995,125513631,100,127.4,6808207360
146,62392319688,126491125,99,118.5,6808207360
147,62823098690,126395363,96,134.4,6808207360
148,63254904926,126588707,96,126.3,6808207360
149,63685945322,126559396,100,118.5,6808207360
150,64113133582,127085304,100,125.8,6808207360
151,64540045968,126190422,100,118.8,6808207360
152,64975352095,126456285,99,134.4,6808207360
153,65402363093,126534866,99,126.4,6808207360
154,65829855627,126833220,98,126.1,6808207360
155,66256798544,126283252,99,126.7,6808207360
156,66685315383,126806360,100,126.1,6808207360
157,67113233994,127522150,100,125.4,6808207360
158,67540261351,126294152,100,126.6,6808207360
159,67967910769,127090064,99,125.9,6808207360
160,68394775464,126709608,99,134.1,6808207360
161,68821484877,126720938,99,126.2,6808207360
162,69250089657,127458398,99,125.5,6808207360
163,69678205441,126418444,100,126.5,6808207360
164,70106947093,126539216,100,126.4,6808207360
165,70535196569,126816840,100,134.0,6808207360
166,70962914806,126546426,99,134.3,6808207360
167,71390248459,127467449,99,125.5,6808207360
168,71817005513,126290203,99,118.7,6808207360
169,72245413900,126769320,99,126.2,6808207360
170,72673060797,127302696,100,125.6,6808207360
171,73102999536,127958906,100,125.0,6808207360
172,73532816404,128337891,100,132.4,6808207360
173,73960062166,126727429,99,118.3,6808207360
174,74388250560,127417708,99,133.4,6808207360
175,74821114462,127082744,97,110.1,6808207360
176,75256163545,126704408,96,126.2,6808207360
177,75694927281,126375544,100,126.6,6808207360
178,76128349691,126502786,100,118.5,6808207360
179,76562214907,125774026,99,127.2,6808207360
180,76995495664,126206781,99,126.7,6808207360
181,77431579492,126974362,95,126.0,6808207360
182,77858792392,126720099,100,134.1,6808207360
183,78289247079,127873654,100,125.1,6808207360
184,78718505489,126802989,100,126.1,6808207360
185,79147388863,127444818,100,133.3,6808207360
186,79574025536,126497535,99,126.4,6808207360
187,80001806685,126703419,99,126.2,6808207360
188,80428658550,127186455,99,125.8,6808207360
189,80865619150,126466304,100,118.6,6808207360
190,81303656666,126082819,100,118.9,6808207360
191,81737437821,126096830,95,126.8,6808207360
192,82173972175,126536426,94,126.4,6808207360
193,82609781868,126494675,95,110.6,6808207360
194,83040550981,126212752,96,126.7,6808207360
195,83471186390,126383964,100,126.5,6808207360
196,83900036804,126787620,100,126.1,6808207360
197,84327500708,127288536,100,125.7,6808207360
198,84756167999,127124384,99,133.7,6808207360
199,85183640234,126843640,99,134.0,6808207360
200,85610440998,126311432,99,126.6,6808207360
201,86045951078,126838480,95,126.1,6808207360
202,86480357072,125979398,100,119.0,6808207360
203,86912845658,125845286,100,127.1,6808207360
204,87348722953,127033213,95,125.9,6808207360
205,87779154109,126246863,97,118.8,6808207360
206,88211939860,125809816,95,127.1,6808207360
207,88647536741,126498706,95,126.4,6808207360
208,89075496252,126981202,100,126.0,6808207360
209,89504181873,127485419,100,125.5,6808207360
210,89930678913,126500875,100,134.3,6808207360
211,90358719776,126654407,99,126.3,6808207360
212,90785747504,127503250,99,125.4,6808207360
213,91219436157,126007438,95,126.9,6808207360
214,91648052918,127100444,98,125.8,6808207360
215,92075049425,126776289,100,134.0,6808207360
216,92501887460,126871961,100,126.1,6808207360
217,92931845170,126196082,100,110.9,6808207360
218,93365526324,126272482,95,126.7,6808207360
219,93795626576,130272750,97,122.8,6808207360
220,94229268148,126425465,95,126.5,6808207360
221,94656716602,126665677,100,118.4,6808207360
222,95085032028,127912205,100,125.1,6808207360
223,95519516083,126372413,100,118.7,6808207360
224,95953562962,126123800,95,126.8,6808207360
225,96383933777,126413064,97,110.7,6808207360
226,96809913171,126300893,98,134.5,6808207360
227,97246471215,126446864,95,126.5,6808207360
228,97682031365,126819430,100,126.1,6808207360
229,98109317267,126679438,100,126.3,6808207360
230,98536870552,126524276,99,126.4,6808207360
231,98965305010,127831094,99,125.1,6808207360
232,99392441739,126995343,99,125.9,6808207360
233,99819383806,126599257,99,126.3,6808207360
234,100247202935,126620477,99,134.2,6808207360
235,100678458254,130072836,100,123.0,6808207360
236,101111537599,125688304,100,127.3,6808207360
237,101540357602,127402368,99,125.5,6808207360
238,101966912503,126295102,99,142.5,6808207360
239,102394545290,126635177,98,126.3,6808207360
240,102821259143,126815479,98,126.1,6808207360
241,103249365456,127246615,100,125.7,6808207360
242,103677197146,127130934,100,125.8,6808207360
243,104105085846,126594987,100,134.2,6808207360
244,104533733937,126744268,100,126.2,6808207360
245,104961649388,127705873,99,125.2,6808207360
246,105390757605,127164784,98,125.8,6808207360
247,105822965478,126979092,96,133.8,6808207360
248,106253221952,126535226,100,126.4,6808207360
249,106682224148,127811924,100,125.1,6808207360
250,107117083768,126334723,100,134.5,6808207360
251,107543887233,126384063,99,126.5,6808207360
252,107976001014,126679478,97,118.4,6808207360
253,108403216344,126210491,99,126.7,6808207360
254,108838508220,126813680,95,126.1,6808207360
255,109265703670,126435494,100,126.5,6808207360
256,109692626287,126521396,100,126.4,6808207360
257,110119126267,126913571,100,126.0,6808207360
258,110547156219,127051763,99,125.9,6808207360
259,110974487132,126457005,98,134.4,6808207360
260,111412743121,125935377,93,127.0,6808207360
261,111841703757,127784074,98,125.2,6808207360
262,112272542069,126084339,100,111.0,6808207360
263,112702765703,126479255,100,126.5,6808207360
264,113140589156,125937738,100,127.0,6808207360
265,113573316235,127026054,96,118.0,6808207360
266,114005143862,126501926,96,126.4,6808207360
267,114432226460,126589637,98,126.3,6808207360
268,114860772550,127816604,100,125.1,6808207360
269,115288913443,126858010,100,126.1,6808207360
270,115717143179,127567631,100,125.4,6808207360
271,116143873463,126378574,99,118.6,6808207360
272,116573347295,127249296,99,125.7,6808207360
273,117000938971,126855710,99,126.1,6808207360
274,117428968493,126610706,99,126.3,6808207360
275,117858052141,128026247,100,124.9,6808207360
