time
35.909621 ms
36.272866 ms
35.544276 ms
35.891502 ms
34.496172 ms
34.421442 ms
34.460101 ms
34.382511 ms
35.434175 ms
34.941389 ms
35.619248 ms
35.296013 ms
35.203192 ms
34.039237 ms
34.535863 ms
34.695905 ms
43.122926 ms
86.354143 ms
36.440608 ms
37.731814 ms
39.750452 ms
36.737892 ms
36.492139 ms
36.666431 ms
37.758876 ms
37.547282 ms
38.8767 ms
37.969828 ms
39.430297 ms
38.337534 ms
38.15439 ms
36.008723 ms
36.65011 ms
36.769483 ms
37.902546 ms
36.493639 ms
49.127954 ms
103.301235 ms
33.068483 ms
34.796007 ms
34.518003 ms
33.613621 ms
33.595761 ms
35.668988 ms
36.744042 ms
37.060216 ms
34.805017 ms
32.444625 ms
32.548128 ms
32.667118 ms
33.368947 ms
33.934985 ms
36.708501 ms
37.058416 ms
36.438897 ms
36.206125 ms
42.149243 ms
84.915375 ms
36.947355 ms
37.165908 ms
37.743145 ms
38.015589 ms
37.290409 ms
36.571089 ms
36.735622 ms
37.896477 ms
37.903888 ms
37.588523 ms
36.866614 ms
38.404604 ms
39.078273 ms
37.159487 ms
35.84185 ms
36.528678 ms
37.31696 ms
37.927317 ms
41.648717 ms
89.468244 ms
38.158221 ms
37.754656 ms
37.214708 ms
37.761225 ms
38.050509 ms
36.57474 ms
41.533935 ms
38.132359 ms
38.724348 ms
37.490561 ms
36.906495 ms
37.697284 ms
37.485262 ms
38.381914 ms
37.220768 ms
37.042606 ms
38.213911 ms
38.09154 ms
43.757673 ms
100.935515 ms
36.747741 ms
37.263079 ms
38.859289 ms
38.539776 ms
38.246562 ms
38.0936 ms
38.962402 ms
37.912957 ms
35.7407 ms
37.086546 ms
38.659697 ms
38.707817 ms
37.445461 ms
34.035626 ms
38.476275 ms
35.259022 ms
35.06373 ms
33.917254 ms
40.511842 ms
89.635486 ms
35.677489 ms
34.690225 ms
33.50533 ms
33.816024 ms
33.047733 ms
35.348204 ms
34.222049 ms
33.673112 ms
33.787293 ms
36.239146 ms
34.234448 ms
33.849814 ms
32.801181 ms
32.658108 ms
33.059943 ms
32.896032 ms
35.09103 ms
34.195809 ms
38.583716 ms
85.542573 ms
33.152095 ms
33.224636 ms
33.589921 ms
32.79647 ms
32.191053 ms
32.197783 ms
34.019076 ms
32.419626 ms
32.487236 ms
32.332763 ms
32.544058 ms
32.681529 ms
32.984923 ms
32.538117 ms
34.271179 ms
36.273386 ms
34.32632 ms
32.353174 ms
39.425567 ms
92.22876 ms
33.256646 ms
33.055043 ms
33.781444 ms
32.984262 ms
34.31869 ms
36.413268 ms
36.906535 ms
36.415438 ms
36.813912 ms
36.776643 ms
36.919154 ms
36.866004 ms
36.144404 ms
35.288383 ms
36.227995 ms
36.746132 ms
36.716911 ms
37.154808 ms
44.444483 ms
103.360206 ms
36.444228 ms
36.334316 ms
