iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,1942613297,677649130,87,103.8,6808207360
2,3643030160,409586872,77,105.0,6808207360
3,5241758688,411371903,78,106.9,6808207360
4,6859064380,408572949,68,110.1,6808207360
5,8485973491,411249032,100,107.0,6808207360
6,10068180593,410986269,64,104.6,6808207360
7,11700429092,411058690,100,107.0,6808207360
8,13254910667,407408354,100,105.5,6808207360
9,14872983268,410340260,100,107.2,6808207360
10,16519089860,408845832,100,107.6,6808207360
11,18074346504,410034557,100,107.3,6808207360
12,19695152440,410023827,100,107.3,6808207360
13,21250960880,410796476,100,107.1,6808207360
14,22852779468,410266049,100,109.7,6808207360
15,24492045215,410896037,100,107.1,6808207360
16,26087668074,411790319,100,104.4,6808207360
17,27708930035,411184261,100,109.4,6808207360
18,29258538009,412361825,100,109.1,6808207360
19,30852887923,412024433,100,109.2,6808207360
20,32447963546,411074750,100,109.5,6808207360
21,34018569353,412660830,100,109.0,6808207360
22,35625591655,412850432,100,106.6,6808207360
23,37158024123,412084782,100,111.6,6808207360
24,38759582667,412670030,100,109.0,6808207360
25,40358004032,411914790,100,109.2,6808207360
26,41898854036,412049892,100,109.2,6808207360
27,43514367375,413818285,100,108.7,6808207360
28,45057562338,413169857,100,106.5,6808207360
29,46682170691,412567329,100,109.1,6808207360
30,48276128900,414060577,100,108.7,6808207360
31,49828249465,413091895,100,108.9,6808207360
32,51423792694,413291517,100,108.9,6808207360
33,52995571665,412333445,94,109.1,6808207360
34,54633091860,414372212,100,108.6,6808207360
35,56235878099,414491493,100,108.6,6808207360
36,57789820927,413506660,97,106.4,6808207360
37,59394058654,413790584,95,106.3,6808207360
38,60953657173,414047237,100,106.3,6808207360
39,62638474011,414459313,100,108.6,6808207360
40,64272399651,415621127,100,110.7,6808207360
41,65827390781,419224721,100,109.7,6808207360
42,67434795019,415448565,100,108.3,6808207360
43,68973443284,414925538,100,106.0,6808207360
44,70592724911,415506185,95,110.7,6808207360
45,72221629468,414717395,80,108.5,6808207360
46,73770930307,414492144,100,108.6,6808207360
47,75374417886,415304643,100,110.8,6808207360
48,76923432042,415903170,100,108.2,6808207360
49,78529863237,416013752,100,108.2,6808207360
50,80132151580,415175081,100,108.4,6808207360
51,81687365474,416581889,100,110.4,6808207360
52,83282775211,415937081,100,108.2,6808207360
53,84823594244,416178114,77,110.5,6808207360
54,86459521239,420278345,100,111.8,6808207360
55,88067137989,416710911,100,110.4,6808207360
56,89615173333,415208472,80,108.4,6808207360
57,91210927074,416192334,83,108.1,6808207360
58,92750718265,414692255,100,106.1,6808207360
59,94352758235,415451185,100,108.3,6808207360
60,95955489213,416961924,100,110.3,6808207360
61,97517511833,417243527,100,107.8,6808207360
62,99118861264,416395967,100,110.5,6808207360
63,100662465872,416368906,100,110.5,6808207360
64,102264186999,416871722,100,110.3,6808207360
65,103868495567,415107551,100,108.4,6808207360
66,105411006662,415543836,80,108.3,6808207360
67,107001314645,416930013,85,107.9,6808207360
68,108565935597,414964759,100,110.8,6808207360
69,110182596424,416223358,94,110.5,6808207360
70,111780070305,421286325,96,111.6,6808207360
71,113331316216,416479795,100,110.4,6808207360
72,114970530921,418224697,98,110.0,6808207360
73,116519328921,416869049,100,110.3,6808207360
74,118121632723,415724065,100,108.2,6808207360
75,119726745339,417013581,100,107.9,6808207360
76,121283909735,415504893,100,108.3,6808207360
77,122883584193,415459253,100,108.3,6808207360
78,124428812879,415957679,69,108.2,6808207360
79,126031331483,416680428,67,110.4,6808207360
80,127636585921,419466342,100,109.7,6808207360
81,129211772422,417032802,100,110.3,6808207360
82,130815837236,416468635,100,110.4,6808207360
83,132371447232,416877040,100,110.3,6808207360
84,133989676783,417055472,100,110.3,6808207360
85,135594518336,417324896,100,107.8,6808207360
86,137177104001,416099871,100,108.1,6808207360
87,138773439447,416498015,100,108.0,6808207360
88,140320150102,415218839,100,108.4,6808207360
89,141932284676,416642676,100,105.6,6808207360
90,143529576895,418330858,100,112.3,6808207360
91,145071869483,417400397,100,110.2,6808207360
92,146688810629,417120473,100,107.9,6808207360
93,148234310758,416858680,100,110.3,6808207360
94,149832829521,416362774,100,108.1,6808207360
95,151435274575,416324453,100,110.5,6808207360
96,153008074366,418065515,100,107.6,6808207360
97,154610161505,417077232,100,110.3,6808207360
98,156153886371,415429812,100,105.9,6808207360
99,157761354308,417210984,98,107.9,6808207360
100,159364874095,417609599,96,110.1,6808207360
101,160912299958,416516696,100,108.0,6808207360
102,162479547140,417651500,100,110.1,6808207360
103,164009944469,416088840,100,110.5,6808207360
104,165605177952,417829061,100,110.1,6808207360
105,167211498373,416365084,100,112.9,6808207360
106,168756130191,417389686,99,110.2,6808207360
107,170367511167,415586413,92,108.3,6808207360
108,171899113202,418008374,100,110.0,6808207360
109,173493987030,416380014,100,108.0,6808207360
110,175082285086,417106243,100,107.9,6808207360
111,176630965704,417133403,100,107.9,6808207360
112,178243601025,416785339,100,110.4,6808207360
113,179799986031,418104585,100,110.0,6808207360
114,181404530320,416169871,100,108.1,6808207360
115,183010283235,417108663,100,105.5,6808207360
116,184561814830,416776319,93,108.0,6808207360
117,186161539119,417190384,93,107.9,6808207360
118,187701396637,415051787,100,108.4,6808207360
119,189302023087,417816251,100,110.1,6808207360
120,190911130934,422808654,100,111.2,6808207360
121,192477909540,417526208,100,107.8,6808207360
122,194082847424,416232631,100,110.5,6808207360
123,195628790749,416876410,100,107.9,6808207360
124,197221655542,416196191,100,108.1,6808207360
125,198816796473,417310725,100,107.8,6808207360
126,200366579256,418146396,89,107.6,6808207360
127,202011414712,418478741,100,105.1,6808207360
128,203565572069,418425600,89,109.9,6808207360
129,205171709108,418633002,86,109.9,6808207360
130,206769229510,417495878,86,107.8,6808207360
131,208316717064,415668345,100,108.2,6808207360
132,209919759805,417231934,100,110.2,6808207360
133,211475391320,416413104,100,110.5,6808207360
134,213070707384,417437717,100,110.2,6808207360
135,214670204140,416538095,100,108.0,6808207360
136,216227332275,418143065,100,107.6,6808207360
137,217829514015,422511791,100,108.9,6808207360
138,219393312764,416347694,100,110.5,6808207360
139,221005471119,416825549,100,110.4,6808207360
140,222599442756,418033304,100,107.6,6808207360
141,224136539939,417679650,100,110.1,6808207360
142,225736275548,417724081,100,110.1,6808207360
143,227283176295,418610472,100,107.5,6808207360
144,228881479387,417695730,100,107.7,6808207360
145,230488316635,416692678,100,108.0,6808207360
146,232042006636,418513340,100,109.9,6808207360
147,233648438999,417300385,100,105.4,6808207360
148,235216869526,417797192,100,110.1,6808207360
149,236826134945,416730598,100,110.4,6808207360
150,238436713171,417652489,100,110.1,6808207360
151,239982230999,418284487,75,107.6,6808207360
152,241597001157,417231754,67,107.8,6808207360
153,243140130626,417149973,95,110.3,6808207360
154,244749770710,417172444,90,107.9,6808207360
155,246343682966,417713880,93,110.1,6808207360
156,247881644660,416652737,100,108.0,6808207360
157,249481791195,416968991,100,107.9,6808207360
158,251060373059,417745771,100,107.7,6808207360
159,252650954423,417744781,100,110.1,6808207360
160,254250415099,417414047,100,107.8,6808207360
161,255793296595,418064905,67,110.0,6808207360
162,257393661202,418719963,67,109.8,6808207360
163,258938611935,416946310,93,110.3,6808207360
164,260540047705,418964836,91,107.4,6808207360
165,262146058283,417217914,100,107.8,6808207360
166,263687866845,417836982,100,110.1,6808207360
167,265291707906,416849270,100,110.3,6808207360
168,266836988713,416192041,100,108.1,6808207360
169,268433839316,416833079,100,110.3,6808207360
170,270037240911,417373596,100,107.8,6808207360
171,271601871370,418024574,100,107.6,6808207360
172,273203430742,416773909,100,110.4,6808207360
173,274751605114,418421319,100,109.9,6808207360
174,276345569241,418040665,100,107.6,6808207360
175,277949491963,418733543,100,109.8,6808207360
176,279509073139,417572398,100,107.8,6808207360
177,281122000693,417423047,100,105.4,6808207360
178,282685274255,417342576,100,110.2,6808207360
179,284296599840,417265755,100,110.2,6808207360
180,285895578139,417342175,100,110.2,6808207360
181,287447002102,418303448,100,105.2,6808207360
182,289058983546,417758801,100,107.7,6808207360
183,290613421646,416556456,100,108.0,6808207360
184,292219158591,417368846,100,110.2,6808207360
185,293824283358,418226117,100,110.0,6808207360
186,295369425373,418094865,100,112.4,6808207360
187,296976999000,417629369,100,110.1,6808207360
188,297781950708,214942347,63,120.9,6808207360
