iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,3617879167,1038263706,92,101.5,12491489280
2,6997323054,816081588,100,102.9,12491489280
3,10196759592,816590265,100,101.6,12491489280
4,13383094866,814563369,100,104.3,12491489280
5,16641364142,817052111,100,102.8,12491489280
6,19924171206,818739481,100,101.4,12491489280
7,23100988500,813688588,100,102.0,12491489280
8,26291780660,811751864,100,103.5,12491489280
9,29503954398,812541063,100,100.9,12491489280
10,32746828251,812760776,100,103.3,12491489280
11,35933645781,806986484,100,101.6,12491489280
12,39143066184,809341553,100,101.3,12491489280
13,42310075685,809638127,100,103.7,12491489280
14,45461590113,808688965,100,102.6,12491489280
15,48718111677,806916083,100,104.1,12491489280
16,51896566412,810316495,100,102.4,12491489280
17,55063083656,809871909,100,100.0,12491489280
18,58348371832,806814752,100,101.6,12491489280
19,61540760362,810207754,100,102.4,12491489280
20,64741883311,810811592,100,101.1,12491489280
21,67891030558,810236525,100,102.4,12491489280
22,71008810922,810945984,100,101.1,12491489280
23,74196212799,810041573,100,101.2,12491489280
24,77391105230,809872591,100,101.2,12491489280
25,80622296897,810928884,100,102.3,12491489280
26,83805106766,812330901,100,103.4,12491489280
27,86970541407,810465737,100,102.4,12491489280
28,90131674075,808188039,100,102.7,12491489280
29,93333118468,811115646,100,101.1,12491489280
30,96543799867,811675332,100,103.5,12491489280
31,99697607273,811541671,100,102.3,12491489280
32,102906982776,809851170,100,101.2,12491489280
33,106085051816,812425922,100,103.4,12491489280
34,109229364483,811693673,100,102.3,12491489280
35,112425096705,811666043,100,102.3,12491489280
36,115655888316,812897658,100,102.1,12491489280
37,118840635410,812045947,100,103.4,12491489280
38,122030656010,811156206,100,103.6,12491489280
39,125211023419,812451513,100,102.2,12491489280
40,128479653245,810614200,100,103.6,12491489280
41,131672473230,812636645,100,102.1,12491489280
42,134842698372,815152016,100,103.0,12491489280
43,138121164721,810764732,100,102.4,12491489280
44,141304654309,811630932,100,103.5,12491489280
45,144544079629,812559874,100,103.4,12491489280
46,147798927443,813021960,100,102.1,12491489280
47,150981933435,812249300,100,102.2,12491489280
48,154336724661,813439825,100,100.8,12491489280
49,157524972649,811525351,100,102.3,12491489280
50,160825980952,812365972,100,102.2,12491489280
51,164029146217,813260343,100,103.3,12491489280
52,167200806606,812114168,100,103.4,12491489280
53,170375408813,811952887,100,102.2,12491489280
54,173555226365,813346314,100,102.0,12491489280
55,176809152587,812549673,100,103.4,12491489280
56,180008489364,810449218,100,102.4,12491489280
57,183219742130,811654493,100,103.5,12491489280
58,186388426418,812031777,100,103.4,12491489280
59,189556051872,810972364,100,102.3,12491489280
60,192875676748,812991631,100,102.1,12491489280
61,196037598329,812801518,100,103.3,12491489280
62,199259429762,810556560,100,102.4,12491489280
63,202447605022,812375304,100,103.4,12491489280
64,205681697903,813221203,100,102.1,12491489280
65,208912510633,812636685,100,102.1,12491489280
66,212127579309,812646806,100,102.1,12491489280
67,215300101407,811368549,100,102.3,12491489280
68,218478207787,810632440,100,103.6,12491489280
69,221710899010,812621096,100,102.1,12491489280
70,224960323250,812521615,100,103.4,12491489280
71,228128568843,812498325,100,103.4,12491489280
72,231310227927,812379203,100,102.2,12491489280
73,234479579824,812438424,100,102.2,12491489280
74,237666577088,813757060,100,102.0,12491489280
75,240988716166,812681136,100,103.4,12491489280
76,244163636055,811127447,100,102.3,12491489280
77,247422827771,809733749,100,101.3,12491489280
78,250613151728,813011741,100,102.1,12491489280
79,253804332716,813490257,100,102.0,12491489280
80,257040045808,809295283,100,102.6,12491489280
81,260318537073,811762895,100,101.0,12491489280
82,263516530440,812402122,100,102.2,12491489280
83,266694477227,812188551,100,102.2,12491489280
84,269859884413,813310425,100,102.0,12491489280
85,273093228695,812538596,100,103.4,12491489280
86,276275174854,811349209,100,102.3,12491489280
87,279466774987,811873086,100,102.2,12491489280
88,282709031025,812728937,100,103.4,12491489280
89,285871811736,813079701,100,102.1,12491489280
90,289139051796,811372421,100,103.5,12491489280
91,292342605074,812720048,100,102.1,12491489280
92,295539855421,812275071,100,104.6,12491489280
93,298800981601,811014555,100,102.3,12491489280
94,301217732146,612137479,100,102.9,12491489280
