iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,1960096475,323012465,65,102.1,6770458624
2,3745705895,285617277,99,97.9,6808207360
3,5306093203,286114694,99,101.3,6808207360
4,6907237402,285692738,99,101.4,6808207360
5,8535873453,286433287,99,97.6,6808207360
6,10077317618,286662100,99,97.6,6808207360
7,11680490743,287810955,99,100.7,6808207360
8,13232497403,286133734,100,101.2,6808207360
9,14852741826,286724601,100,101.0,6808207360
10,16437654538,286312905,100,97.7,6808207360
11,17988599314,286746221,100,101.0,6808207360
12,19587586486,287651923,100,100.7,6808207360
13,21126313806,286344676,99,101.2,6808207360
14,22767840642,287420340,99,97.3,6808207360
15,24344727081,287063916,99,104.4,6808207360
16,25878491577,286420957,99,104.6,6808207360
17,27510565602,286824232,99,97.5,6808207360
18,29049392503,287082676,100,100.9,6808207360
19,30647459163,289456266,100,100.1,6808207360
20,32238085077,288109938,100,100.5,6808207360
21,33775007275,288204820,99,100.5,6808207360
22,35404715480,288831638,100,100.3,6808207360
23,36972846556,288624425,99,100.4,6808207360
24,38556271508,288543784,99,100.4,6808207360
25,40152045288,288108949,99,100.6,6808207360
26,41696118217,288472224,99,100.4,6808207360
27,43299903460,287854506,99,97.2,6808207360
28,44851430824,288102298,100,100.5,6808207360
29,46445373930,289359204,100,96.7,6808207360
30,48083797437,291077087,99,99.5,6808207360
31,49628026687,289069441,100,100.2,6808207360
32,51227940791,287972297,100,100.6,6808207360
33,52762981024,289010370,99,100.2,6808207360
34,54370921760,288156870,99,100.5,6808207360
35,55978649923,289283084,97,100.1,6808207360
36,57530060756,288887929,99,103.7,6808207360
37,59153512110,289486626,99,100.1,6808207360
38,60718631808,289651578,99,100.0,6808207360
39,62342469998,290113324,99,99.9,6808207360
40,63960347551,289732139,99,100.0,6808207360
41,65557459629,289848390,99,99.9,6808207360
42,67178954989,289934722,96,99.9,6808207360
43,68746006931,289490496,99,100.1,6808207360
44,70366196924,289947172,99,99.9,6808207360
45,71977882328,289891132,96,99.9,6808207360
46,73541683339,290731732,99,99.6,6808207360
47,75178555986,290592991,96,99.7,6808207360
48,76729198929,290525030,99,99.7,6808207360
49,78334783864,290844443,99,99.6,6808207360
50,79925386028,290353307,99,99.8,6808207360
51,81462857391,289822339,99,100.0,6808207360
52,83072487259,290966165,99,99.6,6808207360
53,84615408193,290928775,76,99.6,6808207360
54,86217904029,291372880,100,99.4,6808207360
55,87854130067,291450081,99,99.4,6808207360
56,89393596437,291366601,86,99.4,6808207360
57,90997042056,290530229,84,96.3,6808207360
58,92554162841,290672802,99,99.7,6808207360
59,94159525874,290976325,99,103.0,6808207360
60,95759015272,290171755,99,99.8,6808207360
61,97303619167,290269226,99,99.8,6808207360
62,98928397219,291540653,99,99.4,6808207360
63,100473309368,291376301,99,99.4,6808207360
64,102061882106,291306769,99,99.4,6808207360
65,103646813138,290826164,99,99.5,6808207360
66,105174487886,289530486,92,100.1,6808207360
67,106752439699,291536273,99,99.4,6808207360
68,108291278270,290755853,99,99.6,6808207360
69,109880591828,290300647,99,99.8,6808207360
70,111480085756,291385930,99,99.4,6808207360
71,113047008267,292466355,99,99.1,6808207360
72,114651256446,290436468,99,99.8,6808207360
73,116209633647,290670761,73,99.7,6808207360
74,117838411220,291158158,99,99.5,6808207360
75,119432834023,290612771,99,99.7,6808207360
76,120979001808,291773496,89,99.3,6808207360
77,122579845534,291380340,88,99.4,6808207360
78,124127480048,291957758,99,99.2,6808207360
79,125711500398,289484527,99,100.1,6808207360
80,127307149556,289075431,99,100.2,6808207360
81,128844342897,288784578,99,100.3,6808207360
82,130478040133,290363827,99,99.8,6808207360
83,132017350500,289772130,100,100.0,6808207360
84,133618931935,289794530,100,100.0,6808207360
85,135215872820,289575897,100,100.0,6808207360
86,136752185019,290096374,100,99.9,6808207360
87,138350043707,289888762,100,99.9,6808207360
88,139892813578,291514872,99,99.4,6808207360
89,141499682691,291413671,99,99.4,6808207360
90,143111421055,289890581,99,99.9,6808207360
91,144665642784,288722117,99,100.3,6808207360
92,146277751663,291511042,99,102.8,6808207360
93,147823129559,289520497,99,100.0,6808207360
94,149413332287,290445698,100,99.7,6808207360
95,151006333113,290369248,100,99.8,6808207360
96,152537747699,289882381,99,99.9,6808207360
97,154161772661,289508236,100,100.1,6808207360
98,155686377360,292917811,99,102.3,6808207360
99,157296318622,291714014,99,99.3,6808207360
100,158894652235,292134211,99,99.2,6808207360
101,160435684415,289330105,99,100.1,6808207360
102,162046757441,289790700,99,100.0,6808207360
103,163612607108,290357648,100,99.8,6808207360
104,165221732739,289686919,99,100.0,6808207360
105,166821527221,290408998,99,99.8,6808207360
106,168367192300,292004839,100,99.2,6808207360
107,169972905687,292096719,100,102.6,6808207360
108,171527041825,290004582,99,99.9,6808207360
109,173143984726,289517096,97,100.0,6808207360
110,174724835776,290159215,99,99.8,6808207360
111,176256979731,292037019,99,102.6,6808207360
112,177856027334,293621550,96,102.1,6808207360
113,179407403186,290554141,100,99.7,6808207360
114,181006881363,289191652,100,100.2,6808207360
115,182614950511,291045896,99,99.5,6808207360
116,184167297345,293006272,100,98.9,6808207360
117,185755402498,290445768,90,103.2,6808207360
118,187282594170,292262242,99,99.1,6808207360
119,188881133346,292233192,99,99.1,6808207360
120,190487897887,291949858,99,99.2,6808207360
121,192042029984,289725209,99,100.0,6808207360
122,193650625498,290119404,99,99.9,6808207360
123,195195653549,291020146,100,99.5,6808207360
124,196792825037,290532179,100,99.7,6808207360
125,198384030659,292000488,100,102.6,6808207360
126,199919498258,289879931,99,99.9,6808207360
127,201519460822,290040144,99,99.9,6808207360
128,203101222903,290622171,99,99.7,6808207360
129,204689556078,290830844,99,99.6,6808207360
130,206275313490,292886350,99,98.9,6808207360
131,207809876577,290672652,99,99.7,6808207360
132,209408023817,291203818,99,102.9,6808207360
133,210952098576,292958551,89,98.9,6808207360
134,212564410818,292343403,82,99.1,6808207360
135,214160571413,291985598,84,99.2,6808207360
136,215694357510,291276999,99,99.5,6808207360
137,217298476797,289708240,99,100.0,6808207360
138,218833387408,291301880,99,99.4,6808207360
139,220432656393,290862074,99,99.6,6808207360
140,222045176648,293210534,99,98.8,6808207360
141,223614880415,291356761,99,99.4,6808207360
142,225210093528,290955365,99,99.6,6808207360
143,226751623514,293369386,87,102.2,6808207360
144,228359549330,292596926,83,102.4,6808207360
145,229968147394,292721268,78,99.0,6808207360
146,231510938186,291071816,99,103.0,6808207360
147,233115520850,290943625,99,99.6,6808207360
148,234659733370,292501074,99,99.0,6808207360
149,236259517212,293972713,99,98.5,6808207360
150,237865324291,293259175,99,98.8,6808207360
151,239415217053,290739292,99,103.1,6808207360
152,240999598188,291519312,99,99.4,6808207360
153,242560692894,293587368,80,98.7,6808207360
154,244162861947,293331896,79,102.2,6808207360
155,245762910092,292766218,78,99.0,6808207360
156,247300216544,290864513,99,99.6,6808207360
157,248888112723,290330147,99,103.2,6808207360
158,250435343192,292938631,99,98.9,6808207360
159,252050198296,292550945,99,99.0,6808207360
160,253676625019,291681515,99,99.3,6808207360
161,255214079153,291713725,99,102.7,6808207360
162,256806601652,290477718,99,99.7,6808207360
163,258348900977,292586736,83,99.0,6808207360
164,259953816055,293080733,81,102.3,6808207360
165,261557499427,293062572,79,102.3,6808207360
166,263107818035,290622051,99,99.7,6808207360
167,264715968154,290381588,98,99.8,6808207360
168,266251525713,293374586,99,102.2,6808207360
169,267859834614,293919913,99,102.0,6808207360
170,269459490684,293953293,99,101.9,6808207360
171,271003790736,290733572,99,99.6,6808207360
172,272612491201,290771773,99,99.6,6808207360
173,274168158458,292007738,100,99.2,6808207360
174,275758805543,292800239,100,102.4,6808207360
175,277349206684,292935020,100,98.9,6808207360
176,278886802730,291937517,99,99.2,6808207360
177,280470471056,290814833,99,99.6,6808207360
178,282008095761,291395310,99,99.4,6808207360
179,283602764168,291465792,99,102.8,6808207360
180,285190406814,290874494,99,99.6,6808207360
181,286724138640,291312190,100,99.4,6808207360
182,288313929163,291049705,100,99.5,6808207360
183,289814752169,290312067,99,99.8,6808207360
184,291407196476,290604450,99,103.1,6808207360
185,293014814668,290399978,99,99.8,6808207360
186,294562291780,291933058,100,99.2,6808207360
187,296153683574,292503845,100,99.0,6808207360
188,296948262937,151013014,74,105.8,6808207360
