iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,3564216573,588136804,100,100.3,12455837696
2,7004223336,562546352,100,99.5,12491489280
3,10333429153,563792289,100,101.0,12491489280
4,13545628643,563023889,100,99.4,12491489280
5,16800806150,565086395,100,99.0,12491489280
6,19989322523,565467460,100,100.8,12491489280
7,23198236151,565443690,100,100.8,12491489280
8,26417403022,564760621,100,99.1,12491489280
9,29560772579,565569111,100,99.0,12491489280
10,32792515783,567499816,100,100.4,12491489280
11,35994302747,567851971,100,100.3,12491489280
12,39173632842,567253393,100,98.7,12491489280
13,42386477360,566964610,100,100.5,12491489280
14,45582873665,567019820,100,100.5,12491489280
15,48808503269,567940682,100,98.6,12491489280
16,52049031137,568520309,100,100.2,12491489280
17,55261874275,568902015,100,100.1,12491489280
18,58476789830,568334628,100,100.2,12491489280
19,61674379201,567354984,100,100.4,12491489280
20,64877411632,568537789,100,100.2,12491489280
21,68161198790,568917255,100,100.1,12491489280
22,71341696329,569697015,100,100.0,12491489280
23,74501523930,569930218,100,100.0,12491489280
24,77725537443,570479625,100,101.6,12491489280
25,80926238064,567999203,100,100.3,12491489280
26,84175629887,571131134,100,99.8,12491489280
27,87402614388,566207820,100,98.8,12491489280
28,90600634075,565355499,100,100.8,12491489280
29,93799431331,563829049,100,99.3,12491489280
30,96968887987,565453051,100,100.8,12491489280
31,100230199043,565218347,100,99.0,12491489280
32,103434034295,563123450,100,99.4,12491489280
33,106644086767,566736476,100,100.5,12491489280
34,109843543442,566500904,100,100.6,12491489280
35,113031782181,564371086,100,100.9,12491489280
36,116223934121,567089261,100,100.5,12491489280
37,119443116542,565835285,100,98.9,12491489280
38,122623967285,566376691,100,100.6,12491489280
39,125844275171,564943753,100,99.1,12491489280
40,129061898111,566657956,100,100.5,12491489280
41,132257136191,566635375,100,98.8,12491489280
42,135601099280,566977810,100,98.7,12491489280
43,138805524209,564308495,100,101.0,12491489280
44,142004905423,564080322,100,101.0,12491489280
45,145205508272,564483798,100,99.2,12491489280
46,148404202807,565061895,100,100.8,12491489280
47,151681149566,564822231,100,99.1,12491489280
48,154873518069,563934840,100,99.2,12491489280
49,158071586086,566266430,100,98.8,12491489280
50,161266154098,566533824,100,98.8,12491489280
51,164469135599,566319361,100,98.8,12491489280
52,167729345531,564232824,100,101.0,12491489280
53,170954733742,562660674,100,99.5,12491489280
54,174111290711,565069824,100,99.0,12491489280
55,177288531378,563221821,100,99.4,12491489280
56,180513096618,565151537,100,99.0,12491489280
57,183690648159,564951154,100,100.8,12491489280
58,186921434950,565644423,100,98.9,12491489280
59,190091298011,565367649,100,99.0,12491489280
60,193274674417,564666230,100,100.9,12491489280
61,196468170595,564635779,100,100.9,12491489280
62,199699564504,566083568,100,98.9,12491489280
63,202944391357,563647276,100,99.3,12491489280
64,206137285497,564483958,100,100.9,12491489280
65,209330539591,565885266,100,98.9,12491489280
66,212579444947,563606376,100,101.1,12491489280
67,215870642131,565085916,100,100.8,12491489280
68,219129828810,563797919,100,101.1,12491489280
69,222351267510,565027034,100,100.8,12491489280
70,225551006448,565599702,100,99.0,12491489280
71,228746453491,563981751,100,101.0,12491489280
72,231965218416,565873335,100,98.9,12491489280
73,235221987084,564151243,100,99.2,12491489280
74,238400990584,564054692,100,101.0,12491489280
75,241589995113,564731980,100,100.9,12491489280
76,244763002035,563941751,100,99.2,12491489280
77,247920519606,565350389,100,100.7,12491489280
78,251121108435,564544128,100,100.9,12491489280
79,254346067111,564543839,100,99.1,12491489280
80,257542158173,564277264,100,99.2,12491489280
81,260749158485,563990201,100,99.2,12491489280
82,263950202021,565524191,100,100.7,12491489280
83,267142863537,563778118,100,99.3,12491489280
84,270445502490,564687070,100,99.1,12491489280
85,273632340021,566067918,100,98.9,12491489280
86,276806864212,565251197,100,100.8,12491489280
87,280016008183,565051935,100,99.1,12491489280
88,283190328842,563319353,100,101.1,12491489280
89,286472031253,566496354,100,100.6,12491489280
90,289656392722,565417889,100,99.0,12491489280
91,292843863632,565420410,100,99.0,12491489280
92,296126094059,565225237,100,99.0,12491489280
93,299330272555,565924536,100,100.7,12491489280
94,301780197944,428855340,100,100.2,12491489280
