iteration,timestamp,duration,GPU utilization,CPU utilization,GPU memory
1,668115057,330930880,87,99.6,6770458624
2,1138608369,289537475,99,100.0,6808207360
3,1568450777,289912780,97,99.9,6808207360
4,1999077927,290114014,100,103.3,6808207360
5,2424329449,290971635,100,103.0,6808207360
6,2849629792,291349961,99,99.4,6808207360
7,3274409668,290738622,99,99.6,6808207360
8,3694892981,290743922,99,99.6,6808207360
9,4114779527,290142153,99,103.3,6808207360
10,4536686331,291065246,99,99.5,6808207360
11,4958578476,291222459,99,99.5,6808207360
12,5379702058,290720912,100,103.1,6808207360
13,5800271554,290485968,100,99.7,6808207360
14,6224665094,290687711,100,103.1,6808207360
15,6650200250,291659376,99,99.3,6808207360
16,7075422732,291425622,99,99.4,6808207360
17,7504057643,291449642,99,99.4,6808207360
18,7932930607,292057721,99,99.2,6808207360
19,8358002437,291134568,99,99.5,6808207360
20,8785843277,292159543,100,99.2,6808207360
21,9208274378,292111102,100,99.2,6808207360
22,9631643084,292741281,100,99.0,6808207360
23,10053716130,292031070,99,102.6,6808207360
24,10475039247,291022026,99,99.5,6808207360
25,10895854765,290828533,99,99.6,6808207360
26,11317128901,290930365,99,103.0,6808207360
27,11739028315,291796147,99,99.3,6808207360
28,12162200987,292020341,99,99.2,6808207360
29,12582682351,291126558,100,99.5,6808207360
30,13002761629,290576830,100,99.7,6808207360
31,13423415566,291244740,100,99.5,6808207360
32,13846193173,291988450,99,99.2,6808207360
33,14274072592,290965986,99,99.6,6808207360
34,14699529738,292025141,99,99.2,6808207360
35,15128810148,292712050,99,99.0,6808207360
36,15554449736,291247879,99,99.5,6808207360
37,15981685067,292745711,96,99.0,6808207360
38,16409391885,293285209,100,98.8,6808207360
39,16834615506,291400762,100,99.4,6808207360
40,17267779082,293844166,99,102.0,6808207360
41,17702747394,293027064,99,102.3,6808207360
42,18136692491,292864582,99,98.9,6808207360
43,18566038052,293084865,98,98.8,6808207360
44,18992561023,292515147,100,102.4,6808207360
45,19422213518,292355336,100,102.5,6808207360
46,19845844938,293249448,99,102.2,6808207360
47,20270672374,293886617,99,102.0,6808207360
48,20701121430,293145207,99,102.2,6808207360
49,21125429070,293893267,99,102.0,6808207360
50,21549953841,293100316,99,102.2,6808207360
51,21977179052,293244348,96,102.2,6808207360
52,22407626269,293709305,100,98.6,6808207360
53,22831588843,292923443,100,98.9,6808207360
54,23255139061,293231218,99,98.8,6808207360
55,23680875650,293385420,99,98.7,6808207360
56,24104267726,292959104,99,98.9,6808207360
57,24530213608,292386346,99,99.1,6808207360
58,24959697291,294662429,99,98.3,6808207360
59,25385233398,294434095,98,101.8,6808207360
60,25810195476,293665574,100,98.7,6808207360
61,26244415877,293887837,99,102.0,6808207360
62,26679394449,293155637,99,102.2,6808207360
